timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727184341147,49598,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184341147,3148,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184341147,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184342149,49194,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184342149,2786,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184342149,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184343149,49164,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184343149,1944,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184343149,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184344149,49163,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184344149,3174,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184344149,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184345150,49163,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184345150,1562,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184345150,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184346150,49173,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184346150,6082,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184346150,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184347150,49094,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184347150,803,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184347150,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184348150,49051,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184348150,1544,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184348150,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184349150,49051,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184349150,0,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184349150,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184350150,49232,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184350150,9756,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184350150,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184351150,49228,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184351150,775,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184351150,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184352151,49227,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184352151,1132,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184352151,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184353151,49219,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184353151,393,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184353151,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184354151,49219,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184354151,375,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184354151,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184355152,49258,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184355152,3500,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184355152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184356152,49253,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184356152,1152,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184356152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184357152,49088,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184357152,4736,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184357152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184358152,49087,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184358152,1174,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184358152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184359152,49187,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184359152,25198,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184359152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184360152,49186,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184360152,15386,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184360152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184361152,49185,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184361152,12878,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184361152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184362152,49066,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184362152,10172,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184362152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184363153,49150,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184363153,13963,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184363153,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184364153,49150,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184364153,1925,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184364153,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184365153,49021,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184365153,1574,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184365153,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
