timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727184339333,319,CountValuesBook,200,OK,clearGuestbookHistory 3-1,text,true,,12,0,1,3,null,316,0,295
1727184339381,105,Open pages SC,200,"Number of samples in transaction : 3, number of failing samples : 0",loginToSc 1-1,,true,,35749,1855,1,3,null,0,189,49
1727184339559,79,home,200,,loginToSc 1-1,text,true,,22653,411,1,3,http://localhost:8080/,79,0,49
1727184339646,11,projects,200,,loginToSc 1-1,text,true,,11863,457,1,3,http://localhost:8080/projects.html,11,0,0
1727184339659,15,hello,200,,loginToSc 1-1,text,true,,1233,987,1,3,http://localhost:8080/self/login,4,0,0
1727184339659,4,hello-0,302,,loginToSc 1-1,,true,,349,467,1,3,http://localhost:8080/self/hello,4,0,0
1727184339668,6,hello-1,200,,loginToSc 1-1,text,true,,884,520,1,3,http://localhost:8080/self/login,6,0,0
1727184339676,11,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",loginToSc 1-1,,true,,1721,1245,1,3,null,0,3,0
1727184339676,11,login,200,,loginToSc 1-1,text,true,,1721,1245,1,3,http://localhost:8080/self/hello,6,0,0
1727184339676,6,login-0,302,,loginToSc 1-1,,true,,349,648,1,3,http://localhost:8080/self/login,6,0,0
1727184339683,4,login-1,200,,loginToSc 1-1,text,true,,1372,597,1,3,http://localhost:8080/self/hello,4,0,0
1727184339692,36,SoapRequest,200,,loginToSc 1-1,text,true,,626,614,1,3,http://localhost:8300/ws,36,0,1
1727184339381,117,Open pages ,200,"Number of samples in transaction : 4, number of failing samples : 0",sendComment 2-1,,true,,34649,1658,1,2,null,0,1184,51
1727184339557,81,home,200,,sendComment 2-1,text,true,,22653,411,1,3,http://localhost:8080/,81,0,51
1727184339645,16,clients,200,,sendComment 2-1,text,true,,6135,456,1,3,http://localhost:8080/clients.html,16,0,0
1727184340169,7,guestbook,200,,sendComment 2-1,text,true,,4112,470,1,2,http://localhost:8080/guestbook.html,7,0,0
1727184340668,13,guestbookDB,200,,sendComment 2-1,text,true,,1749,321,1,2,http://localhost:8080/service/guestbook,13,0,0
1727184340682,7,sendComm,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 2-1,,true,,2091,953,1,2,null,0,977,0
1727184341174,4,sendComment,200,,sendComment 2-1,text,true,,274,617,1,2,http://localhost:8080/service/guestbook,4,0,0
1727184341662,3,guestbookDB,200,,sendComment 2-1,text,true,,1817,336,1,2,http://localhost:8080/service/guestbook,3,0,0
1727184341667,29,Open pages ,200,"Number of samples in transaction : 4, number of failing samples : 0",sendComment 2-1,,true,,34717,1658,1,2,null,0,1910,0
1727184342151,7,home,200,,sendComment 2-1,text,true,,22653,411,1,2,http://localhost:8080/,7,0,0
1727184342636,10,clients,200,,sendComment 2-1,text,true,,6135,456,1,2,http://localhost:8080/clients.html,10,0,0
1727184343124,7,guestbook,200,,sendComment 2-1,text,true,,4112,470,1,2,http://localhost:8080/guestbook.html,7,0,0
1727184343600,5,guestbookDB,200,,sendComment 2-1,text,true,,1817,321,1,2,http://localhost:8080/service/guestbook,5,0,0
1727184343606,6,sendComm,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 2-1,,true,,2155,945,1,2,null,0,931,0
1727184344076,3,sendComment,200,,sendComment 2-1,text,true,,274,609,1,2,http://localhost:8080/service/guestbook,2,0,0
1727184344545,3,guestbookDB,200,,sendComment 2-1,text,true,,1881,336,1,2,http://localhost:8080/service/guestbook,3,0,0
1727184344548,21,Open pages ,200,"Number of samples in transaction : 4, number of failing samples : 0",sendComment 2-1,,true,,34781,1658,1,2,null,0,1830,0
1727184345010,7,home,200,,sendComment 2-1,text,true,,22653,411,1,2,http://localhost:8080/,6,0,0
1727184345473,6,clients,200,,sendComment 2-1,text,true,,6135,456,1,2,http://localhost:8080/clients.html,6,0,0
1727184345935,6,guestbook,200,,sendComment 2-1,text,true,,4112,470,1,2,http://localhost:8080/guestbook.html,6,0,0
1727184346396,2,guestbookDB,200,,sendComment 2-1,text,true,,1881,321,1,2,http://localhost:8080/service/guestbook,2,0,0
1727184346399,6,sendComm,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 2-1,,true,,2217,935,1,2,null,0,896,0
1727184346847,3,sendComment,200,,sendComment 2-1,text,true,,274,599,1,2,http://localhost:8080/service/guestbook,2,0,0
1727184347298,3,guestbookDB,200,,sendComment 2-1,text,true,,1943,336,1,2,http://localhost:8080/service/guestbook,3,0,0
1727184347301,22,Open pages ,200,"Number of samples in transaction : 4, number of failing samples : 0",sendComment 2-1,,true,,34843,1658,1,2,null,0,1757,0
1727184347743,6,home,200,,sendComment 2-1,text,true,,22653,411,1,2,http://localhost:8080/,6,0,0
1727184348192,7,clients,200,,sendComment 2-1,text,true,,6135,456,1,2,http://localhost:8080/clients.html,7,0,0
1727184348634,6,guestbook,200,,sendComment 2-1,text,true,,4112,470,1,2,http://localhost:8080/guestbook.html,6,0,0
1727184349077,3,guestbookDB,200,,sendComment 2-1,text,true,,1943,321,1,2,http://localhost:8080/service/guestbook,3,0,0
1727184349080,6,sendComm,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 2-1,,true,,2274,918,1,2,null,0,858,0
1727184349509,3,sendComment,200,,sendComment 2-1,text,true,,274,582,1,2,http://localhost:8080/service/guestbook,3,0,0
1727184349941,3,guestbookDB,200,,sendComment 2-1,text,true,,2000,336,1,2,http://localhost:8080/service/guestbook,2,0,0
