Label;# Samples;Average;Median;90% Line;95% Line;99% Line;Min;Max;Error %;Throughput;Received KB/sec;Sent KB/sec
CountValuesBook;3;107;2;319;319;319;1;319;0.000%;.01250;0.00;0.00
Open pages SC;1;105;105;105;105;105;105;105;0.000%;9.52381;332.49;17.25
home;360;6;6;6;7;10;4;81;0.000%;1.19976;26.54;0.48
projects;1;11;11;11;11;11;11;11;0.000%;90.90909;1053.18;40.57
hello;1;15;15;15;15;15;15;15;0.000%;66.66667;80.27;64.26
hello-0;1;4;4;4;4;4;4;4;0.000%;250.00000;85.21;114.01
hello-1;1;6;6;6;6;6;6;6;0.000%;166.66667;143.88;84.64
Login;1;11;11;11;11;11;11;11;0.000%;90.90909;152.79;110.53
login;1;11;11;11;11;11;11;11;0.000%;90.90909;152.79;110.53
login-0;1;6;6;6;6;6;6;6;0.000%;166.66667;56.80;105.47
login-1;1;4;4;4;4;4;4;4;0.000%;250.00000;334.96;145.75
SoapRequest;1;36;36;36;36;36;36;36;0.000%;27.77778;16.98;16.66
Open pages ;356;21;19;28;36;55;16;117;0.000%;1.18602;43.64;1.92
clients;356;5;5;6;7;9;4;16;0.000%;1.18640;7.11;0.53
guestbook;359;5;5;6;6;9;4;21;0.000%;1.19812;4.81;0.55
guestbookDB;694;3;2;5;11;24;1;45;0.000%;2.31928;10.85;0.74
sendComm;356;6;5;9;14;25;3;96;5.337%;1.18939;5.64;1.08
sendComment;356;3;2;7;11;18;1;93;5.337%;1.19135;0.37;0.71
openPages Book;3;13371;54;40017;40017;40017;44;40017;0.000%;.01073;0.32;0.01
DeleteBook;2;9;8;10;10;10;8;10;0.000%;.01666;0.00;0.00
CountValuesBookAfterDelete;2;2;2;2;2;2;2;2;100.000%;.01667;0.00;0.00
TOTAL;2857;21;5;18;20;36;1;40017;1.400%;9.50236;99.21;6.03
